,PlanetIdentifier,TypeFlag,RightAscension,DeclinationAccurate,RightAscensionInDegrees,AngleBtwEarthExoplanetInDeg,DistFromEarthParsec
778,Kepler-1468 b,0,70445.0,41.277499999999996,293.52083356814995,77.09181076477999,
779,Kepler-1468 c,0,70445.0,41.277499999999996,293.52083356814995,77.09181076477999,
780,Qatar-1 b,0,72812.0,65.16194444444444,303.38333357603995,108.72161543957631,
781,Kepler-1203 b,0,70266.0,44.17805555555555,292.77500023422,56.410033318950774,
782,Kepler-723 b,0,68359.0,44.658055555555556,284.82916689453,95.79125623774368,
783,WASP-85 A b,2,42218.01,6.563722222222222,175.9083751407267,46.98526759676341,128.0
784,Kepler-1638 b,0,70916.0,48.52444444444444,295.48333356971995,110.40399452887513,
785,Kepler-1151 b,0,70139.0,47.87833333333333,292.24583356713,78.33231165839919,
786,Kepler-498 b,0,69686.0,44.51888888888889,290.35833356562,125.23936926127516,
787,Kepler-473 b,0,68791.0,38.94555555555555,286.62916689597,51.37648412844774,
788,Kepler-904 b,0,69317.0,40.38916666666667,288.82083356439,95.01777246407866,
789,HD 114762 b,2,47539.0,17.516944444444444,198.07916682513,114.60303239806038,39.46
790,Kepler-198 b,0,69761.0,38.69083333333333,290.67083356587,99.3825007239883,516.78
791,Kepler-198 c,0,69761.0,38.69083333333333,290.67083356587,99.3825007239883,516.78
792,Kepler-198 d,0,69761.0,38.69083333333333,290.67083356587,99.3825007239883,516.78
793,EPIC 201617985 b,0,43077.998,2.321475,179.49165847692663,69.45191548475421,111.0
794,Kepler-747 b,0,69220.0,41.02972222222222,288.4166668974,59.117737199304,
795,Kepler-471 b,0,71783.0,43.4975,299.09583357261,108.58615946764448,
796,Kepler-857 b,0,70712.0,43.400555555555556,294.63333356903996,83.15585772993974,
797,HD 33142 b,0,18455.54,-12.013527777777778,76.89808339485181,18.70904308787212,126.0
798,2M 1938+4603 b,1,70712.6,46.06638888888889,294.63583356904195,92.87047547676875,
799,Kepler-665 b,0,71286.0,48.478611111111114,297.02500023761996,118.09840314575037,
800,HD 45364 b,0,23138.0,-30.519166666666667,96.40833341045999,57.566286093288774,32.6
801,HD 45364 c,0,23138.0,-30.519166666666667,96.40833341045999,57.566286093288774,32.6
802,Kepler-928 b,0,69581.0,41.54277777777778,289.92083356526996,122.85109399895295,
803,Kepler-629 b,0,69460.0,39.94499999999999,289.4166668982,32.73811646447412,
804,Kepler-120 b,0,69094.0,39.33888888888889,287.89166689698,65.51193698941223,267.74
805,Kepler-120 c,0,69094.0,39.33888888888889,287.89166689698,65.51193698941223,267.74
806,Kepler-1302 b,0,69837.0,50.308055555555555,290.98750023278996,146.63579942468974,
807,Kepler-1129 b,0,69985.0,41.309444444444445,291.60416689995,142.0952427288292,
808,Kepler-1129 c,0,69985.0,41.309444444444445,291.60416689995,142.0952427288292,
